dates,Policy rate,Inflation,Inflation expectation
2017-04-01,8.0,11.869618696186969,8.27
2017-05-01,8.0,11.722178260556815,8.41
2017-06-01,8.0,10.90108473848137,8.32
2017-07-01,8.0,9.788378512279717,8.41
2017-08-01,8.0,10.679301533219764,8.37
2017-09-01,8.0,11.198497892089133,8.35
2017-10-01,8.0,11.898857961093846,8.52
2017-11-01,8.0,12.98426044960217,8.65
2017-12-01,8.0,11.91973747179873,9.3
2018-01-01,8.0,10.345632881830923,9.24
2018-02-01,8.0,10.259125657742342,9.26
2018-03-01,8.0,10.23456951906696,9.24
2018-04-01,8.0,10.849529476441466,9.62
2018-05-01,8.0,12.1470654518528,10.15
2018-06-01,17.75,15.385112014978386,10.47
2018-07-01,17.75,15.849020113460544,11.07
2018-08-01,17.75,17.89642456309124,12.96
2018-09-01,24.0,24.518924429718346,14.46
2018-10-01,24.0,25.24032459425718,17.03
2018-11-01,24.0,21.618795743895692,17.38
2018-12-01,24.0,20.30176231636174,16.46
2019-01-01,24.0,20.35374149659863,15.91
2019-02-01,24.0,19.671639103160544,15.47
2019-03-01,24.0,19.712910128388007,15.24
2019-04-01,24.0,19.50230468522085,15.38
2019-05-01,24.0,18.71160360567261,15.48
2019-06-01,24.0,15.720120859444942,14.88
2019-07-01,19.75,16.646726579672233,13.9
2019-08-01,19.75,15.008431703204028,12.77
2019-09-01,16.5,9.262102138982709,12.21
2019-10-01,14.0,8.552844718020292,11.18
2019-11-01,14.0,10.56184889248508,10.46
2019-12-01,12.0,11.836092210825644,10.07
2020-01-01,11.25,12.153641319365939,9.54
2020-02-01,10.75,12.367384816031702,9.61
2020-03-01,9.75,11.85918919589881,9.51
2020-04-01,8.75,10.936698972243253,9.7
2020-05-01,8.25,11.390017411491593,9.2
2020-06-01,8.25,12.622391992843852,9.03
2020-07-01,8.25,11.764144642686759,9.33
2020-08-01,8.25,11.77040961120046,9.7
2020-09-01,10.25,11.748313975271628,10.15
2020-10-01,10.25,11.889620973851557,10.53
2020-11-01,15.0,14.026300743281862,10.77
2020-12-01,17.0,14.599318955732121,10.84
2021-01-01,17.0,14.973681263299365,10.53
2021-02-01,17.0,15.610910227222007,10.36
