dates,Portfolio investment,Direct investment,Other investment,Financial account
2016-10-01,0.614,1.0046666666666666,-1.7486666666666668,-0.13
2016-11-01,-0.4726666666666667,0.7593333333333334,-2.3533333333333335,-2.0666666666666664
2016-12-01,-0.18466666666666665,1.058,-3.939,-3.0656666666666665
2017-01-01,-0.5206666666666666,0.9123333333333333,-2.462,-2.0703333333333336
2017-02-01,0.6676666666666666,0.836,-1.2483333333333333,0.25533333333333336
2017-03-01,1.4576666666666667,0.66,0.673,2.7906666666666666
2017-04-01,2.0623333333333336,0.7283333333333334,-0.162,2.6286666666666667
2017-05-01,3.6193333333333335,0.9526666666666667,-1.821,2.751
2017-06-01,4.428333333333333,0.41633333333333333,-0.2786666666666667,4.566
2017-07-01,3.3573333333333335,0.5886666666666667,0.5286666666666666,4.474666666666667
2017-08-01,2.1713333333333336,0.507,1.799,4.477333333333333
2017-09-01,1.9403333333333332,0.9263333333333333,1.9913333333333332,4.858
2017-10-01,2.4113333333333333,1.1103333333333332,2.503,6.024666666666667
2017-11-01,1.311,0.9183333333333333,2.4916666666666667,4.721
2017-12-01,0.3203333333333333,0.8263333333333334,0.458,1.6046666666666667
2018-01-01,1.522,0.373,0.9846666666666666,2.8796666666666666
2018-02-01,1.8593333333333333,0.14933333333333335,1.484,3.4926666666666666
2018-03-01,0.87,0.368,2.046,3.284
2018-04-01,-1.1046666666666667,0.496,2.4816666666666665,1.873
2018-05-01,-1.396,0.65,1.3076666666666668,0.5616666666666666
2018-06-01,-0.9046666666666666,0.6323333333333334,0.639,0.3666666666666667
2018-07-01,-0.725,0.622,-1.145,-1.248
2018-08-01,-0.7413333333333334,0.8456666666666667,-5.825,-5.720666666666667
2018-09-01,-0.5986666666666667,0.7946666666666666,-6.835333333333333,-6.639333333333333
2018-10-01,-0.018333333333333333,1.0146666666666666,-8.669333333333334,-7.673
2018-11-01,0.73,1.151,-4.136,-2.255
2018-12-01,0.328,1.1533333333333333,-2.3676666666666666,-0.8863333333333334
2019-01-01,1.581,0.9813333333333334,-0.912,1.6503333333333332
2019-02-01,1.749,0.7236666666666667,-0.35,2.1226666666666665
2019-03-01,2.151,0.8076666666666666,-1.2296666666666667,1.729
