dates,Retail sales,Industrial Production
2017-06-01,4.695431472081224,6.8599902980791105
2017-07-01,9.04392764857882,13.564162329398455
2017-08-01,8.92857142857142,9.012455596724301
2017-09-01,7.017543859649145,13.553538497233752
2017-10-01,4.289215686274517,9.261615828650726
2017-11-01,2.7878787878787836,10.718536446652438
2017-12-01,8.239700374531855,14.323874635021138
2018-01-01,9.000000000000007,11.29489681971625
2018-02-01,6.535141800246613,8.842838674421728
2018-03-01,5.392156862745101,7.484849771154756
2018-04-01,6.35696821515892,5.911346212035595
2018-05-01,3.3734939759036076,5.660398254590571
2018-06-01,3.0303030303030276,2.0840318037544714
2018-07-01,0.8293838862559078,4.768449665342911
2018-08-01,0.8196721311475308,1.2768036634992264
2018-09-01,-5.035128805620626,-3.1391061321308533
2018-10-01,-7.9905992949471205,-5.529771238734704
2018-11-01,-7.193396226415083,-6.2755744184343705
2018-12-01,-8.650519031141869,-10.152684983730287
2019-01-01,-8.25688073394496,-6.818281533960368
2019-02-01,-6.8287037037037095,-5.126771759696158
2019-03-01,-4.767441860465105,-2.3375884218229115
2019-04-01,-6.3218390804597675,-4.066414702932919
2019-05-01,-3.379953379953371,-1.812856302662924
2019-06-01,-1.8823529411764683,-3.2777414196913823
2019-07-01,-4.81786133960046,-1.1891122675988242
2019-08-01,-3.484320557491294,-3.6510025202399765
2019-09-01,3.5758323057953234,3.236353849436502
2019-10-01,8.17369093231164,4.014447654484199
2019-11-01,9.02160101651841,4.861130915994072
2019-12-01,11.489898989898983,8.749911759663576
2020-01-01,10.375,6.60595134100328
2020-02-01,11.925465838509307,8.136282953850827
2020-03-01,3.5409035409035283,-1.4546773627654441
2020-04-01,-16.80981595092025,-29.952530339798567
2020-05-01,-11.821471652593496,-17.567748692589902
2020-06-01,1.5587529976019088,-0.33917922840134285
2020-07-01,12.34567901234569,5.683834275684485
2020-08-01,7.821901323706371,10.36415692007797
2020-09-01,9.285714285714274,8.666503042124706
2020-10-01,11.924439197166459,10.293057119124516
2020-11-01,11.07226107226107,11.018194760921073
2020-12-01,3.05775764439411,9.381592674162519
2021-01-01,6.56851642129106,11.950141685205473
2021-02-01,7.658157602663707,9.392806570376667
2021-03-01,19.10377358490567,16.667793099952455
2021-04-01,37.7581120943953,65.23623983226221
2021-05-01,25.85499316005473,42.18677379854354
2021-06-01,16.056670602125145,24.277210831485775
2021-07-01,12.637362637362637,9.91289126368744
2021-08-01,13.83928571428572,13.704740972480556
2021-09-01,12.745098039215685,9.424191271983773
2021-10-01,10.864978902953592,10.210852733252196
2021-11-01,12.277019937040933,12.090914319676372
2021-12-01,14.395604395604389,11.479014661389186
2022-01-01,8.395324123273129,6.116560697362461
2022-02-01,7.938144329896901,12.13174340998171
2022-03-01,3.168316831683171,7.422836329329585
2022-04-01,14.775160599571734,9.944107408015924
2022-05-01,20.32608695652174,6.9979982877163005
2022-06-01,8.952187182095628,7.798681476130409
2022-07-01,7.1219512195122014,2.052633135159554
2022-08-01,14.705882352941169,0.8479479930408873
2022-09-01,15.169082125603861,0.14695599616016963
2022-10-01,16.365366317792574,2.4271545255095006
2022-11-01,16.355140186915882,-1.5503920165643614
2022-12-01,23.342939481268022,-0.22833676345471732
2023-01-01,30.686274509803923,3.941844367151459
2023-02-01,20.82139446036293,-8.20138582973854
2023-03-01,28.598848368522066,1.0652578786904066
2023-04-01,29.850746268656692,-0.5697459451889708
2023-05-01,28.635953026196926,0.9223450187032078
2023-06-01,32.026143790849694,1.3214280741974838
2023-07-01,33.97085610200363,8.565411256233002
2023-08-01,19.999999999999996,3.8886161251504126
2023-09-01,17.869127516778516,6.204217601741946
2023-10-01,17.08912510220768,2.076493330848228
2023-11-01,16.305220883534144,1.350207468078679
2023-12-01,15.342679127725845,2.264868948971621
2024-01-01,13.503375843960995,1.4259573370583256
2024-02-01,23.08300395256917,11.609428869499428
2024-03-01,17.01492537313434,4.1926791526599505
2024-04-01,10.919540229885062,-0.9663292438660376
2024-05-01,7.303370786516861,-0.22191879159219052
2024-06-01,10.325318246110315,-4.640574845735568
2024-07-01,7.681849082256975,-3.4727705414971166
2024-08-01,14.743589743589736,-4.269128373162778
2024-09-01,17.224199288256226,-2.4537837910616034
2024-10-01,14.874301675977652,-2.6451365219671175
2024-11-01,15.469613259668492,1.9069531794615902
2024-12-01,13.63943281566511,4.800693919077559
2025-01-01,13.218770654329148,1.645533320402448
2025-02-01,11.175337186897893,-2.9471520898495585
2025-03-01,8.992346938775508,1.8550559763255148
2025-04-01,13.601036269430056,2.7672096348375197
2025-05-01,16.88481675392668,4.349533056131882
2025-06-01,16.15384615384614,7.499514877412894
2025-07-01,14.39393939393938,4.851480145712195
2025-08-01,13.8423339540658,7.046162275076395
2025-09-01,13.782635094110507,2.9737568810963566
